name,location,date,time,more_info,tags
Monday Apps,"The Kickin' Chicken, Charleston, SC",2026-06-22,11:00 AM,https://kickinchicken.com/,"Sports & Outdoors, Sports, Food & Drink, Food, Nightlife, Bars"
167 x Hart Collaboration,"Bar167, Charleston, SC",2026-06-22,12:00 PM,https://www.167hospitality.com/,"Pursuits & Hobbies, Markets & Shopping"
Home School Climbing,"Coastal Climbing Gym, Charleston, SC",2026-06-22,12:00 PM,http://www.coastalclimbing.com,"Sports & Outdoors, Fitness, Outdoor Recreation, Climbing, Special Audience, Kids"
Mobile Library - Overture,"Daniel Island Library, Daniel Island, SC",2026-06-22,12:00 PM,https://berkeleylibrarysc.libcal.com/event/16849780,Literary Arts
Art Room Surprise,"Children's Museum of the Lowcountry, Charleston, SC",2026-06-22,1:00 PM,https://eventvesta.com/events/147264/t/tickets,"Visual Arts, Drawing & Painting, Painting, Drawing, Learning, Lessons & Classes, Special Audience, Kids, Destinations, Museums & Exhibits, Children's Museums"
DI Social Bridge Club,"Daniel Island Library, Daniel Island, SC",2026-06-22,1:00 PM,https://berkeleylibrarysc.libcal.com/event/16653822,"Pursuits & Hobbies, Games, Card Games"
FreshFields Farmers Market,"Freshfields Village, Johns Island, SC",2026-06-22,3:00 PM,https://freshfieldsvillage.com/event/farmers-market/2026-06-01/,"Pursuits & Hobbies, Markets & Shopping, Farmers Markets, Culinary Arts, Food & Drink, Food, Destinations, Zoos & Animals, Farms"
Chess Club,"Goose Creek Library, Goose Creek, SC",2026-06-22,4:00 PM,https://berkeleylibrarysc.libcal.com/event/11680513,"Pursuits & Hobbies, Games, Board Games, Chess, Learning, Lessons & Classes, Special Audience, Family"
Dog-Friendly Mingle & Bark Mondays at Broken Leash,"Broken Leash Dog Park & Bar, North Charleston, SC",2026-06-22,4:00 PM,,"Lifestyle, Pets, Dogs, Professional, Networking"
Happy Hour at Bourbon N' Bubbles,"Bourbon N' Bubbles, Charleston, SC",2026-06-22,4:00 PM,https://bourbonnbubbles.com/charleston-bourbon-n-bubbles-happy-hours-specials,"Food & Drink, Drinks, Happy Hour"
Commission on Women,"Charleston, SC",2026-06-22,4:00 PM,https://www.charleston-sc.gov/calendar.aspx?EID=10580,"Civic Benefit, Politics & Government, Government Meetings, Committee Meetings, Special Audience, Women"
Dog House by Nonna and Nana's,"Tin Roof, Charleston, SC",2026-06-22,5:00 PM,https://tockify.com/tinroofschedule/detail/1577/1782162000000,"Lifestyle, Pets, Dogs"
Seafood Tower Hour,"Hank's Seafood, Charleston, SC",2026-06-22,5:00 PM,https://www.hanksseafoodrestaurant.com/event/seafood-tower-hour/,"Food & Drink, Seafood, Dinner, Food"
Caucus (T),"Beaufort, SC",2026-06-22,5:00 PM,https://www.beaufortcountysc.gov/events/2026/06/06.22.2026 Caucus.html,"Civic Benefit, Politics & Government, Government Meetings, Committee Meetings"
Juneteenth With Chef Rod: Year Five,"Edmund's Original (Formerly Edmund's Oast), Charleston, SC",2026-06-22,6:00 PM,https://www.eventbrite.com/e/juneteenth-with-chef-rod-year-five-tickets-1989267808565,"Holidays, Juneteenth, Pursuits & Hobbies, Culinary Arts"
BINGO Monday's!,"DIG In The Park, North Charleston, SC",2026-06-22,6:00 PM,,"Pursuits & Hobbies, Games, Bingo"
Headstrings Collective,"Pour House, Charleston, SC",2026-06-22,6:00 PM,https://charlestonpourhouse.com/event/headstrings-collective/,"Performing Arts, Music, Live Music, Destinations, Parties & Reunions"
County Council Regular Session (T),"Beaufort, SC",2026-06-22,6:00 PM,https://www.beaufortcountysc.gov/events/2026/06/06.22.2026 Council.html,"Civic Benefit, Politics & Government, Government Meetings, Committee Meetings"
Yoga At Coastal Climbing,"Coastal Climbing, Charleston, SC",2026-06-22,6:30 PM,https://app.rockgympro.com/b/widget/?a=calendar&&widget_guid=c8153164e2b64f8588fadaf20fe8cc9f&random=6862ad33795ff&iframeid=&mode=p,"Sports & Outdoors, Fitness, Yoga, Outdoor Recreation, Climbing"
Nonprofit Night,"North Charleston, SC",2026-06-22,6:30 PM,https://www.eventbrite.com/e/nonprofit-night-tickets-1991205502259,"Civic Benefit, Causes & Activism"
3E Journey: College Tour,"Charleston, SC",2026-06-22,7:00 AM,,"Performing Arts, Music"
Macramé Plant Hanger Workshop w/ Dear Palmer Co @ Island Candles,"Island Candles, Charleston, SC",2026-06-22,7:00 PM,https://www.eventbrite.com/e/macrame-plant-hanger-workshop-w-dear-palmer-co-island-candles-tickets-1990355871992,"Topics, Schools & Education, Learning, Lessons & Classes, Conferences & Workshops, Special Audience, Family, Pursuits & Hobbies, Crafts"
Live Music - Open Mic Night with Chris Tidestrom,"Tommy Condon's Irish Pub & Restaurant, Charleston, SC",2026-06-22,7:00 PM,https://tommycondons.com/charleston-tommy-condon-s-events,"Performing Arts, Open Mic, Music, Live Music"
Charleston Sound Chorus Guest Night,"Charleston, SC",2026-06-22,7:00 PM,https://www.eventbrite.com/e/charleston-sound-chorus-guest-night-tickets-1987648190243,"Performing Arts, Music, Choral"
Mouse in a House Poetry Open Mic 7-9pm. FREE,"Tin Roof, Charleston, SC",2026-06-22,7:00 PM,https://tockify.com/tinroofschedule/detail/1747/1782169200000,"Performing Arts, Open Mic, Literary Arts, Poetry"
Martini Monday at Bourbon N' Bubbles,"Bourbon N' Bubbles, Charleston, SC",2026-06-22,7:00 PM,https://bourbonnbubbles.com/,"Food & Drink, Drinks"
ServSafe® Food Protection Manager Class & Exam,"Hilton Garden Inn, North Charleston, SC",2026-06-22,8:00 AM,https://www.hrfoodsafe.com/servsafe-class-schedule.php,"Pursuits & Hobbies, Culinary Arts, Learning, Lessons & Classes, Food & Drink, Food"
